date;index_value
2000-12-29;100,000 EUR
2001-01-31;103,495 EUR
2001-02-28;95,834 EUR
2001-03-30;92,946 EUR
2001-04-30;99,389 EUR
2001-05-31;102,736 EUR
2001-06-29;99,682 EUR
2001-07-31;94,906 EUR
2001-08-31;87,185 EUR
2001-09-28;78,994 EUR
2001-10-31;81,556 EUR
2001-11-30;87,065 EUR
2001-12-31;88,350 EUR
2002-01-31;88,855 EUR
2002-02-28;87,758 EUR
2002-03-29;90,912 EUR
2002-04-30;85,195 EUR
2002-05-31;82,236 EUR
2002-06-28;73,018 EUR
2002-07-31;67,369 EUR
2002-08-30;67,498 EUR
2002-09-30;59,614 EUR
2002-10-31;63,854 EUR
2002-11-29;67,022 EUR
2002-12-31;60,483 EUR
2003-01-31;57,385 EUR
2003-02-28;56,131 EUR
2003-03-31;55,202 EUR
2003-04-30;58,759 EUR
2003-05-30;58,961 EUR
2003-06-30;61,518 EUR
2003-07-31;64,138 EUR
2003-08-29;67,290 EUR
2003-09-30;63,824 EUR
2003-10-31;67,797 EUR
2003-11-28;66,735 EUR
2003-12-31;67,422 EUR
2004-01-30;69,612 EUR
2004-02-27;70,861 EUR
2004-03-31;71,236 EUR
2004-04-30;71,312 EUR
2004-05-31;70,548 EUR
2004-06-30;72,209 EUR
2004-07-30;70,636 EUR
2004-08-31;70,403 EUR
2004-09-30;70,319 EUR
2004-10-29;70,336 EUR
2004-11-30;70,989 EUR
2004-12-31;72,097 EUR
2005-01-31;73,583 EUR
2005-02-28;74,768 EUR
2005-03-31;74,679 EUR
2005-04-29;73,524 EUR
2005-05-31;78,306 EUR
2005-06-30;80,671 EUR
2005-07-29;83,379 EUR
2005-08-31;82,974 EUR
2005-09-30;87,186 EUR
2005-10-31;85,397 EUR
2005-11-30;89,918 EUR
2005-12-30;92,083 EUR
2006-01-31;93,851 EUR
2006-02-28;95,446 EUR
2006-03-31;96,012 EUR
2006-04-28;95,310 EUR
2006-05-31;89,785 EUR
2006-06-30;90,153 EUR
2006-07-31;90,946 EUR
2006-08-31;93,019 EUR
2006-09-29;95,091 EUR
2006-10-31;97,916 EUR
2006-11-30;96,947 EUR
2006-12-29;99,629 EUR
2007-01-31;102,107 EUR
2007-02-28;99,916 EUR
2007-03-30;101,139 EUR
2007-04-30;103,028 EUR
2007-05-31;107,597 EUR
2007-06-29;106,892 EUR
2007-07-31;103,852 EUR
2007-08-31;103,990 EUR
2007-09-28;105,035 EUR
2007-10-31;107,277 EUR
2007-11-30;101,060 EUR
2007-12-31;100,337 EUR
2008-01-31;90,965 EUR
2008-02-29;88,969 EUR
2008-03-31;83,987 EUR
2008-04-30;90,247 EUR
2008-05-30;91,826 EUR
2008-06-30;83,136 EUR
2008-07-31;81,771 EUR
2008-08-29;84,791 EUR
2008-09-30;77,764 EUR
2008-10-31;69,072 EUR
2008-11-28;64,491 EUR
2008-12-31;61,004 EUR
2009-01-30;60,518 EUR
2009-02-27;55,084 EUR
2009-03-31;57,033 EUR
2009-04-30;63,891 EUR
2009-05-29;65,772 EUR
2009-06-30;66,001 EUR
2009-07-31;71,046 EUR
2009-08-31;72,699 EUR
2009-09-30;74,648 EUR
2009-10-30;72,810 EUR
2009-11-30;74,496 EUR
2009-12-31;79,569 EUR
2010-01-29;78,584 EUR
2010-02-26;81,058 EUR
2010-03-31;87,011 EUR
2010-04-30;88,695 EUR
2010-05-31;86,999 EUR
2010-06-30;84,467 EUR
2010-07-30;85,878 EUR
2010-08-31;84,953 EUR
2010-09-30;86,654 EUR
2010-10-29;88,190 EUR
2010-11-30;92,067 EUR
2010-12-31;95,878 EUR
2011-01-31;95,291 EUR
2011-02-28;97,342 EUR
2011-03-31;94,647 EUR
2011-04-29;94,236 EUR
2011-05-31;95,161 EUR
2011-06-30;92,870 EUR
2011-07-29;92,175 EUR
2011-08-31;85,276 EUR
2011-09-30;82,871 EUR
2011-10-31;88,257 EUR
2011-11-30;88,709 EUR
2011-12-30;91,804 EUR
2012-01-31;96,333 EUR
2012-02-29;99,012 EUR
2012-03-30;100,119 EUR
2012-04-30;99,584 EUR
2012-05-31;97,041 EUR
2012-06-29;99,218 EUR
2012-07-31;103,639 EUR
2012-08-31;103,461 EUR
2012-09-28;104,563 EUR
2012-10-31;103,120 EUR
2012-11-30;104,053 EUR
2012-12-31;104,973 EUR
2013-01-31;106,654 EUR
2013-02-28;110,720 EUR
2013-03-29;114,786 EUR
2013-04-30;114,993 EUR
2013-05-31;116,660 EUR
2013-06-28;112,915 EUR
2013-07-31;115,825 EUR
2013-08-30;114,208 EUR
2013-09-30;116,997 EUR
2013-10-31;121,175 EUR
2013-11-29;122,707 EUR
2013-12-31;123,338 EUR
2014-01-31;120,986 EUR
2014-02-28;123,837 EUR
2014-03-31;124,649 EUR
2014-04-30;125,082 EUR
2014-05-30;129,802 EUR
2014-06-30;131,802 EUR
2014-07-31;133,234 EUR
2014-08-29;138,328 EUR
2014-09-30;139,558 EUR
2014-10-31;141,702 EUR
2014-11-28;144,795 EUR
2014-12-31;146,295 EUR
2015-01-30;154,422 EUR
2015-02-27;164,007 EUR
2015-03-31;168,629 EUR
2015-04-30;166,314 EUR
2015-05-29;169,763 EUR
2015-06-30;163,111 EUR
2015-07-31;165,920 EUR
2015-08-31;152,387 EUR
2015-09-30;147,426 EUR
2015-10-30;160,665 EUR
2015-11-30;166,656 EUR
2015-12-31;159,109 EUR
2016-01-29;150,100 EUR
2016-02-29;148,449 EUR
2016-03-31;152,035 EUR
2016-04-29;153,498 EUR
2016-05-31;158,123 EUR
2016-06-30;157,491 EUR
2016-07-29;163,206 EUR
2016-08-31;164,416 EUR
2016-09-30;163,945 EUR
2016-10-31;165,220 EUR
2016-11-30;172,031 EUR
2016-12-30;176,755 EUR
2017-01-31;177,228 EUR
2017-02-28;185,303 EUR
2017-03-31;186,351 EUR
2017-04-28;185,883 EUR
2017-05-31;183,982 EUR
2017-06-30;182,218 EUR
2017-07-31;181,202 EUR
2017-08-31;180,381 EUR
2017-09-29;184,908 EUR
2017-10-31;191,543 EUR
2017-11-30;190,764 EUR
2017-12-29;192,475 EUR
2018-01-31;195,997 EUR
2018-02-28;191,784 EUR
2018-03-30;186,122 EUR
2018-04-30;191,266 EUR
2018-05-31;198,215 EUR
2018-06-29;197,099 EUR
2018-07-31;202,609 EUR
2018-08-31;205,351 EUR
2018-09-28;206,599 EUR
2018-10-31;195,916 EUR
2018-11-30;198,922 EUR
2018-12-31;183,148 EUR
2019-01-31;196,868 EUR
2019-02-28;203,687 EUR
2019-03-29;209,160 EUR
2019-04-30;216,637 EUR
2019-05-31;204,948 EUR
2019-06-28;213,680 EUR
2019-07-31;219,195 EUR
2019-08-30;216,356 EUR
2019-09-30;223,147 EUR
2019-10-31;224,025 EUR
2019-11-29;232,210 EUR
2019-12-31;236,126 EUR
2020-01-31;236,531 EUR
2020-02-28;219,356 EUR
2020-03-31;189,950 EUR
2020-04-30;210,672 EUR
2020-05-29;216,465 EUR
2020-06-30;221,234 EUR
2020-07-31;221,243 EUR
2020-08-31;232,144 EUR
2020-09-30;229,123 EUR
2020-10-30;225,050 EUR
2020-11-30;246,165 EUR
2020-12-31;251,837 EUR
2021-01-29;252,476 EUR
2021-02-26;258,558 EUR
2021-03-31;274,160 EUR
2021-04-30;279,373 EUR
2021-05-31;279,346 EUR
2021-06-30;291,798 EUR
2021-07-30;293,834 EUR
2021-08-31;302,553 EUR
2021-09-30;295,436 EUR
2021-10-29;310,972 EUR
2021-11-30;312,017 EUR
2021-12-31;321,188 EUR
2022-01-31;309,827 EUR
2022-02-28;301,234 EUR
2022-03-31;310,676 EUR
2022-04-29;301,441 EUR
2022-05-31;297,202 EUR
2022-06-30;278,865 EUR
2022-07-29;305,888 EUR
2022-08-31;298,758 EUR
2022-09-30;277,301 EUR
2022-10-31;291,447 EUR
2022-11-30;301,455 EUR
2022-12-30;279,390 EUR
2023-01-31;294,233 EUR
2023-02-28;292,686 EUR
2023-03-31;294,504 EUR
2023-04-28;293,988 EUR
2023-05-31;301,178 EUR
2023-06-30;311,392 EUR
2023-07-31;319,410 EUR
2023-08-31;315,405 EUR
2023-09-29;309,959 EUR
2023-10-31;301,137 EUR
2023-11-30;318,651 EUR
2023-12-29;329,861 EUR
2024-01-31;337,415 EUR
2024-02-29;353,227 EUR
2024-03-29;365,043 EUR
2024-04-30;356,548 EUR
2024-05-31;365,441 EUR
2024-06-28;378,408 EUR
2024-07-31;380,833 EUR
2024-08-30;381,755 EUR
2024-09-30;387,421 EUR
2024-10-31;389,330 EUR
2024-11-29;415,154 EUR
2024-12-31;413,429 EUR
2025-01-31;425,642 EUR
2025-02-28;422,894 EUR
2025-03-31;391,072 EUR
2025-04-30;375,083 EUR
2025-05-30;397,166 EUR
2025-06-30;401,353 EUR
2025-07-31;417,210 EUR
2025-08-29;418,033 EUR
2025-09-30;431,525 EUR
2025-10-31;449,126 EUR
2025-11-28;446,619 EUR
2025-12-31;445,940 EUR
2026-01-30;453,293 EUR
2026-02-27;462,600 EUR
2026-03-31;439,998 EUR
2026-04-30;476,146 EUR
2026-05-29;503,330 EUR
