date;index_value
2000-12-29;135,668 EUR
2001-01-31;139,603 EUR
2001-02-28;129,228 EUR
2001-03-30;125,580 EUR
2001-04-30;134,449 EUR
2001-05-31;138,795 EUR
2001-06-29;134,593 EUR
2001-07-31;128,484 EUR
2001-08-31;117,801 EUR
2001-09-28;107,128 EUR
2001-10-31;110,386 EUR
2001-11-30;117,598 EUR
2001-12-31;118,983 EUR
2002-01-31;119,320 EUR
2002-02-28;117,710 EUR
2002-03-29;121,852 EUR
2002-04-30;113,961 EUR
2002-05-31;110,101 EUR
2002-06-28;97,816 EUR
2002-07-31;90,220 EUR
2002-08-30;90,347 EUR
2002-09-30;79,785 EUR
2002-10-31;85,487 EUR
2002-11-29;89,680 EUR
2002-12-31;80,879 EUR
2003-01-31;76,654 EUR
2003-02-28;75,012 EUR
2003-03-31;73,846 EUR
2003-04-30;78,604 EUR
2003-05-30;78,831 EUR
2003-06-30;82,126 EUR
2003-07-31;85,481 EUR
2003-08-29;89,517 EUR
2003-09-30;84,902 EUR
2003-10-31;90,090 EUR
2003-11-28;88,690 EUR
2003-12-31;89,566 EUR
2004-01-30;92,399 EUR
2004-02-27;93,931 EUR
2004-03-31;94,340 EUR
2004-04-30;94,732 EUR
2004-05-31;93,841 EUR
2004-06-30;96,122 EUR
2004-07-30;93,965 EUR
2004-08-31;93,496 EUR
2004-09-30;93,217 EUR
2004-10-29;93,242 EUR
2004-11-30;93,931 EUR
2004-12-31;95,350 EUR
2005-01-31;97,186 EUR
2005-02-28;98,467 EUR
2005-03-31;98,613 EUR
2005-04-29;97,115 EUR
2005-05-31;103,339 EUR
2005-06-30;106,308 EUR
2005-07-29;109,659 EUR
2005-08-31;109,120 EUR
2005-09-30;114,201 EUR
2005-10-31;112,166 EUR
2005-11-30;117,751 EUR
2005-12-30;120,299 EUR
2006-01-31;122,074 EUR
2006-02-28;124,147 EUR
2006-03-31;125,000 EUR
2006-04-28;123,734 EUR
2006-05-31;117,200 EUR
2006-06-30;117,697 EUR
2006-07-31;118,663 EUR
2006-08-31;121,373 EUR
2006-09-29;124,109 EUR
2006-10-31;127,697 EUR
2006-11-30;125,968 EUR
2006-12-29;129,202 EUR
2007-01-31;132,659 EUR
2007-02-28;129,820 EUR
2007-03-30;131,184 EUR
2007-04-30;133,598 EUR
2007-05-31;139,290 EUR
2007-06-29;137,714 EUR
2007-07-31;132,864 EUR
2007-08-31;133,308 EUR
2007-09-28;133,864 EUR
2007-10-31;135,624 EUR
2007-11-30;128,210 EUR
2007-12-31;127,058 EUR
2008-01-31;115,878 EUR
2008-02-29;112,362 EUR
2008-03-31;106,618 EUR
2008-04-30;114,215 EUR
2008-05-30;116,169 EUR
2008-06-30;105,445 EUR
2008-07-31;103,877 EUR
2008-08-29;108,539 EUR
2008-09-30;100,232 EUR
2008-10-31;89,979 EUR
2008-11-28;84,098 EUR
2008-12-31;79,231 EUR
2009-01-30;78,414 EUR
2009-02-27;71,022 EUR
2009-03-31;73,061 EUR
2009-04-30;81,417 EUR
2009-05-29;83,126 EUR
2009-06-30;83,506 EUR
2009-07-31;89,614 EUR
2009-08-31;92,186 EUR
2009-09-30;94,112 EUR
2009-10-30;91,577 EUR
2009-11-30;93,674 EUR
2009-12-31;99,783 EUR
2010-01-29;98,742 EUR
2010-02-26;101,987 EUR
2010-03-31;109,231 EUR
2010-04-30;111,173 EUR
2010-05-31;108,929 EUR
2010-06-30;105,379 EUR
2010-07-30;107,111 EUR
2010-08-31;105,696 EUR
2010-09-30;107,574 EUR
2010-10-29;109,601 EUR
2010-11-30;114,496 EUR
2010-12-31;119,268 EUR
2011-01-31;119,343 EUR
2011-02-28;122,609 EUR
2011-03-31;118,158 EUR
2011-04-29;117,822 EUR
2011-05-31;119,070 EUR
2011-06-30;116,196 EUR
2011-07-29;115,109 EUR
2011-08-31;106,791 EUR
2011-09-30;104,701 EUR
2011-10-31;111,133 EUR
2011-11-30;112,338 EUR
2011-12-30;116,427 EUR
2012-01-31;121,251 EUR
2012-02-29;124,451 EUR
2012-03-30;126,618 EUR
2012-04-30;125,951 EUR
2012-05-31;123,185 EUR
